scenario,crop,hazard,gcm,value,n_years,period,complete_period
ssp126,maiz,dry,CNRM-CM6-1,1.7811047824458794,31,2070-2100,True
ssp126,maiz,dry,CNRM-ESM2-1,2.3350973711192733,31,2070-2100,True
ssp126,maiz,dry,CanESM5,1.7420222157838066,31,2070-2100,True
ssp126,maiz,dry,EC-Earth3,1.971822738888738,31,2070-2100,True
ssp126,maiz,dry,GFDL-ESM4,1.6614592628475344,31,2070-2100,True
ssp126,maiz,dry,IPSL-CM6A-LR,1.3856235301108557,31,2070-2100,True
ssp126,maiz,dry,MIROC6,2.3012913217227093,31,2070-2100,True
ssp126,maiz,dry,MPI-ESM1-2-HR,1.7735968670305822,31,2070-2100,True
ssp126,maiz,dry,MRI-ESM2-0,1.8118790462652246,31,2070-2100,True
ssp126,maiz,dry,UKESM1-0-LL,2.326670856297217,31,2070-2100,True
ssp126,maiz,wet,CNRM-CM6-1,1.4905313882843927,31,2070-2100,True
ssp126,maiz,wet,CNRM-ESM2-1,1.4159003527437373,31,2070-2100,True
ssp126,maiz,wet,CanESM5,1.528156222209809,31,2070-2100,True
ssp126,maiz,wet,EC-Earth3,1.5955007605922804,31,2070-2100,True
ssp126,maiz,wet,GFDL-ESM4,1.7064776138648339,31,2070-2100,True
ssp126,maiz,wet,IPSL-CM6A-LR,1.6424576167398484,31,2070-2100,True
ssp126,maiz,wet,MIROC6,1.54011218383523,31,2070-2100,True
ssp126,maiz,wet,MPI-ESM1-2-HR,1.6120265465668777,31,2070-2100,True
ssp126,maiz,wet,MRI-ESM2-0,1.449847630926399,31,2070-2100,True
ssp126,maiz,wet,UKESM1-0-LL,1.61751831228686,31,2070-2100,True
ssp126,rice,dry,CNRM-CM6-1,1.381001818359559,31,2070-2100,True
ssp126,rice,dry,CNRM-ESM2-1,1.376931298132529,31,2070-2100,True
ssp126,rice,dry,CanESM5,0.8825568041660964,31,2070-2100,True
ssp126,rice,dry,EC-Earth3,1.1968732843557293,31,2070-2100,True
ssp126,rice,dry,GFDL-ESM4,1.3926585757365633,31,2070-2100,True
ssp126,rice,dry,IPSL-CM6A-LR,1.4148167161881318,31,2070-2100,True
ssp126,rice,dry,MIROC6,1.2905514130801634,31,2070-2100,True
ssp126,rice,dry,MPI-ESM1-2-HR,1.1211003296861974,31,2070-2100,True
ssp126,rice,dry,MRI-ESM2-0,1.3884172585076764,31,2070-2100,True
ssp126,rice,dry,UKESM1-0-LL,1.5048404597089473,31,2070-2100,True
ssp126,rice,wet,CNRM-CM6-1,6.021058554358487,31,2070-2100,True
ssp126,rice,wet,CNRM-ESM2-1,5.63572770908694,31,2070-2100,True
ssp126,rice,wet,CanESM5,4.652020999543942,31,2070-2100,True
ssp126,rice,wet,EC-Earth3,5.25599788370266,31,2070-2100,True
ssp126,rice,wet,GFDL-ESM4,5.863464013286515,31,2070-2100,True
ssp126,rice,wet,IPSL-CM6A-LR,5.77133740966238,31,2070-2100,True
ssp126,rice,wet,MIROC6,5.723367190443982,31,2070-2100,True
ssp126,rice,wet,MPI-ESM1-2-HR,5.91078657080215,31,2070-2100,True
ssp126,rice,wet,MRI-ESM2-0,5.22553025907452,31,2070-2100,True
ssp126,rice,wet,UKESM1-0-LL,5.795121999481819,31,2070-2100,True
ssp126,soyb,dry,CNRM-CM6-1,1.0474014387109232,31,2070-2100,True
ssp126,soyb,dry,CNRM-ESM2-1,1.8343348946021008,31,2070-2100,True
ssp126,soyb,dry,CanESM5,1.1596296991627975,31,2070-2100,True
ssp126,soyb,dry,EC-Earth3,1.2368052144994688,31,2070-2100,True
ssp126,soyb,dry,GFDL-ESM4,0.8122657121054356,31,2070-2100,True
ssp126,soyb,dry,IPSL-CM6A-LR,0.9121701263563152,31,2070-2100,True
ssp126,soyb,dry,MIROC6,1.634538137230599,31,2070-2100,True
ssp126,soyb,dry,MPI-ESM1-2-HR,1.112475375056729,31,2070-2100,True
ssp126,soyb,dry,MRI-ESM2-0,1.3340652594855518,31,2070-2100,True
ssp126,soyb,dry,UKESM1-0-LL,2.4617582734391608,31,2070-2100,True
ssp126,soyb,wet,CNRM-CM6-1,1.1628457797752876,31,2070-2100,True
ssp126,soyb,wet,CNRM-ESM2-1,1.3443397637058079,31,2070-2100,True
ssp126,soyb,wet,CanESM5,1.1936970879617812,31,2070-2100,True
ssp126,soyb,wet,EC-Earth3,1.3030577739059455,31,2070-2100,True
ssp126,soyb,wet,GFDL-ESM4,1.4228518310362064,31,2070-2100,True
ssp126,soyb,wet,IPSL-CM6A-LR,1.1927805479680804,31,2070-2100,True
ssp126,soyb,wet,MIROC6,1.2249143909880489,31,2070-2100,True
ssp126,soyb,wet,MPI-ESM1-2-HR,1.270868168302179,31,2070-2100,True
ssp126,soyb,wet,MRI-ESM2-0,1.4020142737735692,31,2070-2100,True
ssp126,soyb,wet,UKESM1-0-LL,1.331271133541583,31,2070-2100,True
ssp126,whea,dry,CNRM-CM6-1,2.6937677475053046,31,2070-2100,True
ssp126,whea,dry,CNRM-ESM2-1,2.7944337492906213,31,2070-2100,True
ssp126,whea,dry,CanESM5,1.799073070258231,31,2070-2100,True
ssp126,whea,dry,EC-Earth3,2.8865207869141267,31,2070-2100,True
ssp126,whea,dry,GFDL-ESM4,2.131164316622658,31,2070-2100,True
ssp126,whea,dry,IPSL-CM6A-LR,2.9570934716211523,31,2070-2100,True
ssp126,whea,dry,MIROC6,3.2637269560114155,31,2070-2100,True
ssp126,whea,dry,MPI-ESM1-2-HR,2.4485696122157066,31,2070-2100,True
ssp126,whea,dry,MRI-ESM2-0,3.2186826205558305,31,2070-2100,True
ssp126,whea,dry,UKESM1-0-LL,2.8361998727090643,31,2070-2100,True
ssp126,whea,wet,CNRM-CM6-1,0.5271433376521187,31,2070-2100,True
ssp126,whea,wet,CNRM-ESM2-1,0.5344792705213147,31,2070-2100,True
ssp126,whea,wet,CanESM5,0.4522875459949292,31,2070-2100,True
ssp126,whea,wet,EC-Earth3,0.4863509740088854,31,2070-2100,True
ssp126,whea,wet,GFDL-ESM4,0.5177845295582054,31,2070-2100,True
ssp126,whea,wet,IPSL-CM6A-LR,0.36090833481792506,31,2070-2100,True
ssp126,whea,wet,MIROC6,0.48736634526387806,31,2070-2100,True
ssp126,whea,wet,MPI-ESM1-2-HR,0.4492798651116544,31,2070-2100,True
ssp126,whea,wet,MRI-ESM2-0,0.4400583224491266,31,2070-2100,True
ssp126,whea,wet,UKESM1-0-LL,0.43619769541758646,31,2070-2100,True
ssp585,maiz,dry,CNRM-CM6-1,2.6434385175328767,31,2070-2100,True
ssp585,maiz,dry,CNRM-ESM2-1,2.6819725968680888,31,2070-2100,True
ssp585,maiz,dry,CanESM5,2.238847694048597,31,2070-2100,True
ssp585,maiz,dry,EC-Earth3,2.692998415990832,31,2070-2100,True
ssp585,maiz,dry,GFDL-ESM4,2.7710559090275155,31,2070-2100,True
ssp585,maiz,dry,IPSL-CM6A-LR,3.1912428749387014,31,2070-2100,True
ssp585,maiz,dry,MIROC6,2.8010149445842183,31,2070-2100,True
ssp585,maiz,dry,MPI-ESM1-2-HR,2.9449647276196367,31,2070-2100,True
ssp585,maiz,dry,MRI-ESM2-0,2.5915744673066667,31,2070-2100,True
ssp585,maiz,dry,UKESM1-0-LL,3.319823642021043,31,2070-2100,True
ssp585,maiz,wet,CNRM-CM6-1,1.3874044487491548,31,2070-2100,True
ssp585,maiz,wet,CNRM-ESM2-1,1.206968496326408,31,2070-2100,True
ssp585,maiz,wet,CanESM5,1.4985326503786922,31,2070-2100,True
ssp585,maiz,wet,EC-Earth3,1.4496774861780666,31,2070-2100,True
ssp585,maiz,wet,GFDL-ESM4,1.3022490775204845,31,2070-2100,True
ssp585,maiz,wet,IPSL-CM6A-LR,1.296383358607799,31,2070-2100,True
ssp585,maiz,wet,MIROC6,1.4187042091081852,31,2070-2100,True
ssp585,maiz,wet,MPI-ESM1-2-HR,1.5447268144803132,31,2070-2100,True
ssp585,maiz,wet,MRI-ESM2-0,1.1362919995318626,31,2070-2100,True
ssp585,maiz,wet,UKESM1-0-LL,1.2917710509588471,31,2070-2100,True
ssp585,rice,dry,CNRM-CM6-1,1.5353875606573182,31,2070-2100,True
ssp585,rice,dry,CNRM-ESM2-1,1.3469630688559906,31,2070-2100,True
ssp585,rice,dry,CanESM5,1.1050364596962956,31,2070-2100,True
ssp585,rice,dry,EC-Earth3,0.8402377143105181,31,2070-2100,True
ssp585,rice,dry,GFDL-ESM4,1.1499499270824023,31,2070-2100,True
ssp585,rice,dry,IPSL-CM6A-LR,1.544029841261477,31,2070-2100,True
ssp585,rice,dry,MIROC6,1.1420385203365777,31,2070-2100,True
