scenario,period,crop,crop_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high
ssp126,future_2020_2100,all4,Four crops,loss_pct,9,9,3.9610826532116437,0.28207411128664495,3.7767942338377023,4.145371072585585
ssp126,future_2020_2100,all4,Four crops,loss_million_tonnes,9,9,50.67171700521384,3.5757285919916,48.33557432511267,53.00785968531502
ssp126,future_2020_2100,maiz,Maize,loss_pct,9,9,4.1052794138862625,0.2607390801668289,3.934929881510601,4.275628946261924
ssp126,future_2020_2100,maiz,Maize,loss_million_tonnes,9,9,21.705232938901265,1.374945873102592,20.806934968474238,22.603530909328292
ssp126,future_2020_2100,rice,Rice,loss_pct,9,9,5.4766940354053295,0.2657709428329343,5.3030570194211455,5.6503310513895135
ssp126,future_2020_2100,rice,Rice,loss_million_tonnes,9,9,11.485574647512117,0.5756959910522822,11.109453266691292,11.861696028332942
ssp126,future_2020_2100,soyb,Soybean,loss_pct,9,9,2.3885604899309487,0.38757240965738604,2.1353465156214564,2.641774464240441
ssp126,future_2020_2100,soyb,Soybean,loss_million_tonnes,9,9,3.465018194258018,0.554581294970878,3.1026917482103773,3.8273446403056584
ssp126,future_2020_2100,whea,Wheat,loss_pct,9,9,3.539997520547167,0.5087529880480143,3.2076122350224647,3.8723828060718697
ssp126,future_2020_2100,whea,Wheat,loss_million_tonnes,9,9,14.015891224542441,1.9925993293656334,12.714059662690227,15.317722786394656
ssp126,late_2080_2100,all4,Four crops,loss_pct,10,10,4.495163719335783,0.43920230044151887,4.222943313231551,4.767384125440015
ssp126,late_2080_2100,all4,Four crops,loss_million_tonnes,10,10,57.59395286848478,5.571243330469236,54.14086047711701,61.047045259852545
ssp126,late_2080_2100,maiz,Maize,loss_pct,10,10,4.63321679417698,0.5057393168624819,4.319756318034703,4.946677270319257
ssp126,late_2080_2100,maiz,Maize,loss_million_tonnes,10,10,24.52899851293545,2.667619477414671,22.87559083100079,26.182406194870108
ssp126,late_2080_2100,rice,Rice,loss_pct,10,10,7.151322026252569,0.34030052556215223,6.940401575305734,7.362242477199405
ssp126,late_2080_2100,rice,Rice,loss_million_tonnes,10,10,15.082299795496175,0.7703238056967027,14.604848154173462,15.559751436818887
ssp126,late_2080_2100,soyb,Soybean,loss_pct,10,10,2.642597528446295,0.659246838555195,2.2339921046267492,3.051202952265841
ssp126,late_2080_2100,soyb,Soybean,loss_million_tonnes,10,10,3.8278900232029303,0.9489009179548111,3.239755140988824,4.416024905417037
ssp126,late_2080_2100,whea,Wheat,loss_pct,10,10,3.577915074035334,0.6039913596521053,3.2035573508570687,3.952272797213599
ssp126,late_2080_2100,whea,Wheat,loss_million_tonnes,10,10,14.154764536850228,2.3681711615161616,12.686956843984786,15.62257222971567
ssp126,mid_2050_2079,all4,Four crops,loss_pct,9,9,4.2349788094085845,0.2873294791236256,4.047256883047816,4.422700735769353
ssp126,mid_2050_2079,all4,Four crops,loss_million_tonnes,9,9,54.25423236799586,3.688268942783145,51.84456332537754,56.66390141061418
ssp126,mid_2050_2079,maiz,Maize,loss_pct,9,9,4.387003212608825,0.24021002092195923,4.2300659989398115,4.543940426277838
ssp126,mid_2050_2079,maiz,Maize,loss_million_tonnes,9,9,23.23060181208829,1.2728615912525014,22.39899890580332,24.062204718373255
ssp126,mid_2050_2079,rice,Rice,loss_pct,9,9,5.895043112813839,0.33271955528982866,5.677666336691152,6.112419888936527
ssp126,mid_2050_2079,rice,Rice,loss_million_tonnes,9,9,12.399787163171435,0.7439235214236524,11.913757129174648,12.885817197168222
ssp126,mid_2050_2079,soyb,Soybean,loss_pct,9,9,2.495842714175302,0.4118813741778382,2.2267468830457813,2.764938545304823
ssp126,mid_2050_2079,soyb,Soybean,loss_million_tonnes,9,9,3.614281249810624,0.5839328231565306,3.2327784720150237,3.995784027606224
ssp126,mid_2050_2079,whea,Wheat,loss_pct,9,9,3.7870472382660925,0.5781692491620338,3.40930999548023,4.164784481051955
