scenario,period,crop,crop_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high
ssp126,future_2020_2100,all4,Four crops,loss_pct,760,760,3.9525641837096845,0.9051249610991872,3.8882128107690823,4.016915556650287
ssp126,future_2020_2100,all4,Four crops,loss_million_tonnes,760,760,50.567591149674605,12.279913534100716,49.69453015867994,51.44065214066927
ssp126,future_2020_2100,maiz,Maize,loss_pct,760,760,4.090607014669464,0.9942539641728346,4.0199188661861225,4.161295163152806
ssp126,future_2020_2100,maiz,Maize,loss_million_tonnes,760,760,21.62881603223489,5.445366548641283,21.24166859002498,22.015963474444803
ssp126,future_2020_2100,rice,Rice,loss_pct,760,760,5.530352505453485,1.7488332022173754,5.406016283999455,5.654688726907515
ssp126,future_2020_2100,rice,Rice,loss_million_tonnes,760,760,11.61125496962723,4.442990773717495,11.295373109619815,11.927136829634646
ssp126,future_2020_2100,soyb,Soybean,loss_pct,760,760,2.354449727471407,1.1417295896381905,2.273276552741032,2.4356229022017817
ssp126,future_2020_2100,soyb,Soybean,loss_million_tonnes,760,760,3.415876892529359,1.6454228797133144,3.2988928009086353,3.532860984150083
ssp126,future_2020_2100,whea,Wheat,loss_pct,760,760,3.5146700264632247,1.262320279657639,3.424923254936688,3.6044167979897614
ssp126,future_2020_2100,whea,Wheat,loss_million_tonnes,760,760,13.911643255283126,4.990941810347355,13.556803899872495,14.266482610693757
ssp126,late_2080_2100,all4,Four crops,loss_pct,210,210,4.495163719335783,0.7099211782650606,4.399144856961964,4.591182581709601
ssp126,late_2080_2100,all4,Four crops,loss_million_tonnes,210,210,57.59395286848478,10.118492884370736,56.22539787190161,58.96250786506794
ssp126,late_2080_2100,maiz,Maize,loss_pct,210,210,4.63321679417698,0.8268089097501989,4.521388533032882,4.745045055321079
ssp126,late_2080_2100,maiz,Maize,loss_million_tonnes,210,210,24.528998512935452,4.532841766152343,23.915918747136473,25.14207827873443
ssp126,late_2080_2100,rice,Rice,loss_pct,210,210,7.1513220262525685,1.0305547454374995,7.011936560231293,7.290707492273844
ssp126,late_2080_2100,rice,Rice,loss_million_tonnes,210,210,15.082299795496176,3.695167937393084,14.582517802098282,15.58208178889407
ssp126,late_2080_2100,soyb,Soybean,loss_pct,210,210,2.642597528446295,1.2533197360408974,2.473082462647864,2.8121125942447263
ssp126,late_2080_2100,soyb,Soybean,loss_million_tonnes,210,210,3.82789002320293,1.809468047393097,3.5831543134765886,4.072625732929271
ssp126,late_2080_2100,whea,Wheat,loss_pct,210,210,3.577915074035334,1.1983661295268826,3.4158326401154295,3.739997507955238
ssp126,late_2080_2100,whea,Wheat,loss_million_tonnes,210,210,14.154764536850228,4.728046797637672,13.515282734280529,14.794246339419928
ssp126,mid_2050_2079,all4,Four crops,loss_pct,280,280,4.208268248364248,0.7238099354575874,4.123486650791468,4.293049845937028
ssp126,mid_2050_2079,all4,Four crops,loss_million_tonnes,280,280,53.90417667215044,10.156218705181752,52.71455436255959,55.093798981741294
ssp126,mid_2050_2079,maiz,Maize,loss_pct,280,280,4.367222134488517,0.792253039037168,4.274423631675762,4.460020637301272
ssp126,mid_2050_2079,maiz,Maize,loss_million_tonnes,280,280,23.123355976241875,4.422362426929099,22.605354035077784,23.641357917405966
ssp126,mid_2050_2079,rice,Rice,loss_pct,280,280,5.904784524365984,1.1404654310529816,5.771199067073146,6.038369981658821
ssp126,mid_2050_2079,rice,Rice,loss_million_tonnes,280,280,12.420292610400054,3.506067862102696,12.009618454124858,12.83096676667525
ssp126,mid_2050_2079,soyb,Soybean,loss_pct,280,280,2.4619178988055417,1.0774953695674852,2.3357082761765673,2.588127521434516
ssp126,mid_2050_2079,soyb,Soybean,loss_million_tonnes,280,280,3.565427639897964,1.5243060263915853,3.3868820110298072,3.743973268766121
ssp126,mid_2050_2079,whea,Wheat,loss_pct,280,280,3.7341114074184985,1.2736897586566993,3.5849210644001532,3.8833017504368437
ssp126,mid_2050_2079,whea,Wheat,loss_million_tonnes,280,280,14.795100445610556,5.053004829920932,14.203229843899573,15.38697104732154
ssp126,near_2020_2049,all4,Four crops,loss_pct,270,270,3.265367737099469,0.7776397132760642,3.172609471250205,3.3581260029487328
ssp126,near_2020_2049,all4,Four crops,loss_million_tonnes,270,270,41.64248038210656,10.433938595757512,40.397901390579946,42.88705937363318
ssp126,near_2020_2049,maiz,Maize,loss_pct,270,270,3.38171706190682,0.8906232673968123,3.275481914192077,3.4879522096215636
ssp126,near_2020_2049,maiz,Maize,loss_million_tonnes,270,270,17.823225271979073,4.897887186611071,17.238996465246196,18.40745407871195
ssp126,near_2020_2049,rice,Rice,loss_pct,270,270,3.8812985622560503,1.2363987480374603,3.7338186923263086,4.028778432185792
ssp126,near_2020_2049,rice,Rice,loss_million_tonnes,270,270,8.072551440557348,3.1119129141017225,7.701356862325293,8.443746018789403
ssp126,near_2020_2049,soyb,Soybean,loss_pct,270,270,2.0188862971814654,1.0312978033488063,1.8958712374055378,2.1419013569573933
