scenario,period,crop,crop_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high
historical,historical_1980_2019,all4,Four crops,loss_pct,40,40,1.164752022389372,0.40261297702268006,1.0399809681419667,1.2895230766367771
historical,historical_1980_2019,all4,Four crops,loss_million_tonnes,40,40,22.17945633955548,7.78454896779962,19.766999620610243,24.591913058500715
historical,historical_1980_2019,maiz,Maize,loss_pct,40,40,1.392270521573446,0.5640850340099038,1.217458758427932,1.5670822847189603
historical,historical_1980_2019,maiz,Maize,loss_million_tonnes,40,40,7.687204721241054,3.1600336700456455,6.707900140984861,8.666509301497248
historical,historical_1980_2019,rice,Rice,loss_pct,40,40,1.5737772040176359,0.8704323841253626,1.304027413482976,1.8435269945522959
historical,historical_1980_2019,rice,Rice,loss_million_tonnes,40,40,3.728220407285214,2.3072074872939377,3.0132093992298157,4.4432314153406125
historical,historical_1980_2019,soyb,Soybean,loss_pct,40,40,1.2335442118087092,1.0038283638880512,0.9224545788515864,1.544633844765832
historical,historical_1980_2019,soyb,Soybean,loss_million_tonnes,40,40,1.6691811484302619,1.2828587987478783,1.2716190878280378,2.066743209032486
historical,historical_1980_2019,whea,Wheat,loss_pct,40,40,0.9259116838457736,0.37392986209227175,0.8100296190080787,1.0417937486834685
historical,historical_1980_2019,whea,Wheat,loss_million_tonnes,40,40,9.094850062598951,3.6522961893871244,7.962991747093285,10.226708378104618
