scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,dry,Drought stress,loss_pct,30,30,0.9822369219958187,0.34190506453396785,0.859887765967083,1.1045860780245542,0.982 ? 0.342 (0.860-1.105)
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,dry,Drought stress,loss_million_tonnes,30,30,18.743984580183202,6.522891051359653,16.409797995117398,21.078171165249007,18.744 ? 6.523 (16.410-21.078)
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,total,Total water stress,loss_pct,30,30,1.6713681570200072,0.4625931779182644,1.5058313142707023,1.836904999769312,1.671 ? 0.463 (1.506-1.837)
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,total,Total water stress,loss_million_tonnes,30,30,31.90704906256258,8.933373486853466,28.71028241596201,35.10381570916316,31.907 ? 8.933 (28.710-35.104)
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,wet,Waterlogging stress,loss_pct,30,30,0.3504481781741137,0.12784835513644055,0.3046982318493159,0.39619812449891156,0.350 ? 0.128 (0.305-0.396)
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,wet,Waterlogging stress,loss_million_tonnes,30,30,6.695646121989913,2.48903321463411,5.804957025140576,7.586335218839251,6.696 ? 2.489 (5.805-7.586)
historical,historical_1990_2019,1990,2019,maiz,Maize,total,Total,dry,Drought stress,loss_pct,30,30,1.037335885357162,0.4394444107614298,0.8800827225486759,1.194589048165648,1.037 ? 0.439 (0.880-1.195)
historical,historical_1990_2019,1990,2019,maiz,Maize,total,Total,dry,Drought stress,loss_million_tonnes,30,30,5.747335908288397,2.428933162021859,4.878153339060738,6.616518477516056,5.747 ? 2.429 (4.878-6.617)
historical,historical_1990_2019,1990,2019,maiz,Maize,total,Total,total,Total water stress,loss_pct,30,30,1.9969697434003442,0.6090998388246008,1.7790061653556408,2.2149333214450473,1.997 ? 0.609 (1.779-2.215)
historical,historical_1990_2019,1990,2019,maiz,Maize,total,Total,total,Total water stress,loss_million_tonnes,30,30,11.068625126313556,3.4165812159989493,9.846017239966868,12.291233012660244,11.069 ? 3.417 (9.846-12.291)
historical,historical_1990_2019,1990,2019,maiz,Maize,total,Total,wet,Waterlogging stress,loss_pct,30,30,0.4047565799824731,0.1845883296897444,0.3387024945272677,0.4708106654376785,0.405 ? 0.185 (0.339-0.471)
historical,historical_1990_2019,1990,2019,maiz,Maize,total,Total,wet,Waterlogging stress,loss_million_tonnes,30,30,2.2465240047217874,1.0401090663369061,1.8743257554281918,2.618722254015383,2.247 ? 1.040 (1.874-2.619)
