scenario,period,year_min,year_max,gcm,crop,crop_label,mode,mode_label,hazard,hazard_label,n_years,loss_pct,loss_million_tonnes,prod_nws_million_tonnes,expected_years
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,Irr,Irrigated,dry,Drought stress,30,0.0,0.0,341.77238649702355,30
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,Irr,Irrigated,total,Total water stress,30,1.9727424739557013,6.807479492017604,341.77238649702355,30
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,30,0.0,0.0,341.77238649702355,30
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,30,1.1990609812875215,18.743984580183202,1565.9842457549632,30
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,nonIrr,Rainfed,total,Total water stress,30,1.6048733302188958,25.099569570544983,1565.9842457549632,30
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,30,0.4278298287772892,6.695646121989913,1565.9842457549632,30
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,total,Total,dry,Drought stress,30,0.9822369219958186,18.743984580183202,1907.7566322519865,30
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,total,Total,total,Total water stress,30,1.6713681570200072,31.907049062562585,1907.7566322519865,30
historical,historical_1990_2019,1990,2019,GSWP3,all4,All four crops,total,Total,wet,Waterlogging stress,30,0.3504481781741137,6.695646121989913,1907.7566322519865,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,Irr,Irrigated,dry,Drought stress,30,0.0,0.0,118.53544492311526,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,Irr,Irrigated,total,Total water stress,30,2.522994012585608,3.021267724357489,118.53544492311526,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,30,0.0,0.0,118.53544492311526,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,30,1.3229753737895142,5.747335908288397,435.12414538583573,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,nonIrr,Rainfed,total,Total water stress,30,1.8519243610014167,8.047357401956068,435.12414538583573,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,nonIrr,Rainfed,wet,Waterlogging stress,30,0.5166767499066188,2.2465240047217874,435.12414538583573,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,total,Total,dry,Drought stress,30,1.037335885357162,5.747335908288397,553.659590308951,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,total,Total,total,Total water stress,30,1.9969697434003442,11.068625126313556,553.659590308951,30
historical,historical_1990_2019,1990,2019,GSWP3,maiz,Maize,total,Total,wet,Waterlogging stress,30,0.40475657998247316,2.2465240047217874,553.659590308951,30
