scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,dry,Drought stress,loss_pct,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,total,Total water stress,loss_pct,1,1.9727424739557013,,,,1.973
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,total,Total water stress,loss_million_tonnes,1,6.807479492017604,,,,6.807
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,loss_pct,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,loss_pct,1,1.1990609812875215,,,,1.199
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,1,18.743984580183202,,,,18.744
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,total,Total water stress,loss_pct,1,1.6048733302188958,,,,1.605
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,1,25.099569570544983,,,,25.100
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,1,0.4278298287772892,,,,0.428
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,1,6.695646121989913,,,,6.696
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,dry,Drought stress,loss_pct,1,0.9822369219958186,,,,0.982
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,dry,Drought stress,loss_million_tonnes,1,18.743984580183202,,,,18.744
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,total,Total water stress,loss_pct,1,1.6713681570200072,,,,1.671
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,total,Total water stress,loss_million_tonnes,1,31.907049062562585,,,,31.907
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,wet,Waterlogging stress,loss_pct,1,0.3504481781741137,,,,0.350
historical,historical_1990_2019,1990,2019,all4,All four crops,total,Total,wet,Waterlogging stress,loss_million_tonnes,1,6.695646121989913,,,,6.696
historical,historical_1990_2019,1990,2019,maiz,Maize,Irr,Irrigated,dry,Drought stress,loss_pct,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,maiz,Maize,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,maiz,Maize,Irr,Irrigated,total,Total water stress,loss_pct,1,2.522994012585608,,,,2.523
historical,historical_1990_2019,1990,2019,maiz,Maize,Irr,Irrigated,total,Total water stress,loss_million_tonnes,1,3.021267724357489,,,,3.021
historical,historical_1990_2019,1990,2019,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,loss_pct,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,loss_pct,1,1.3229753737895142,,,,1.323
historical,historical_1990_2019,1990,2019,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,1,5.747335908288397,,,,5.747
